729108;88940;Die Weihe der T�ne : Gedicht / von Carl Pfeiffer;1800;S.l.;s.n.;4 pagina's
743102;101438;Dupliecq of tweede antwoord, der gecommitteerdens van het R.C. Kerkgenootschap te Amsterdam, op het ontwerp van schikking over de kerkgebouwen der eertyds heerschende gezindheid aldaar;1800;Amsterdam;P. van Buuren;47 pagina's
11382658;134075;Echt-zang. Ter bruilofte van mijnen zoon, Mr. David Jacob van Lennep en jongvrouwe Cornelia Christina van Orsoy [... 30-09-1800];1800;;;
806133;77980;Een droevig verhaal voorgevallen te Amsterdam / [A. van der Wolk];1800;Amsterdam;Wed. Wendel;4 pagina's
729130;88962;Een stem van dank uit het volk. Rijmklanken, opgedragen aan het Koninklijk Zo�logisch Genootschap: Natura Artis Magistra;1800;Amsterdam;wed. C. Kok [etc.];8 pagina's
748260;106405;Eenvoudig [staat Eenvouwig] verhaal van het voorgevallene tusschen de wettige vertegenwoordigers der Herstelde Luthersche gemeente en de leden der consistorie en algemeene kerkvergadering, enz.;1800;;;
725554;85384;Fragment uit eene berijmde historische wandeling, van den Dam naar de Haarlemmer Poort, te Amsterdam / [G. Lamberts];1800;S.l.;s.n.;
796934;59283;Geboorte-gezangen van onzen lieven heer en heyland Iesus Christus met Discant & Basso Continuo;1800;S.l.;s.n.;91 pagina's
770472;3268;Gedichte / des Grafen August von Platen;1800;Halle a.d. S.;Hendel;
772198;4994;Gedichten van A.C.W. Staring / met eene inleiding uitgegeven door Nicolaas Beets;1800;Zutphen;Thieme;
725632;85458;Gids voor bezoekers van Amsterdam en omstreken / door A.W. Kroon;1800;Amsterdam;Seyffardt;55 pagina's
739127;98999;G�n�alogie de la famille de Flines, �tablie � Cournai et au Cournaisia : d�s le milieu du treizi�me si�cle et, en partie, en Hollande depuis la fin du seizi�me si�cle / r�dig�e sur titres authentiques par Q. de Flines;1800;S.l.;s.n.;
664099;62290;Historie der vreemde en tot nog toe onbeschreven ziekte oikomania, die sedert korte jaren, inzonderheid te Amsterdam, heeft beginnen te graffeeren, dagelyks hand over hand toeneemt, en veelen ellendig wegsleept / uit menigvuldige waarneemingen opgemaakt en in 't licht gegeven door Martinus Scribleru;1800;S.l.;s.n.;
659698;58243;"Historische en letterkundige avondstonden ter opheldering van eenige zeden der Nederlanden; byzonderlijk in derzelver daaglijksch en huislijk leeven; en van de stand der Nederduitsche dichtkunde, sedert de vroegste tijden, tot aan het begin der zestiende eeuwe ..., uit oorspronkelijke stukken en de ";1800;Amsterdam;by Johannes Allart;
686808;43984;Inhoud van mijnen atlas / [J. ter Gouw];1800;S.l.;s.n.;33 bladen
27848596;145917;Instructie voor den Raad der Asiatische bezittingen en etablissementen;1800;In den Haag;ter 's Lands Drukkerye;23 pagina's
772267;5063;Lidewijde / door L. van Deyssel;1800;S.l.;s.n.;
753879;109626;"Lierzang op den eersten dag van het slotjaar der agttiende eeuw / Cornelis Loots ; uitgesproken ... door J.P. Kroese";1800;Amsterdam;Pieter Johannes Uylenbroek;
25468756;144901;Lykzang, op het onverwacht afsterven van den verdienstelyken acteur J. A. Roos : overleden de XX. Oct. MDCCC  / [door N.C. Brinkman];1800;Amsterdam;by Abraham Mars;
770335;3131;"Meier Ezofowicz : erz�hlung aus dem leben der Juden / von E.P. Orzeszko ; einzig autorisierte Uebersetz. aus dem Polnischen von Leonhard Brixen ; mit 26 Illustrationen von M. Andriotti";1800;Dresden;Minden;
24848042;144081;Memorie van antwoord inzake de burgemeester der stad Amsterdam, ge�ntimeerde, op en jegens de dijkgraaf en hoogheemraden van Rijnland en den burgemeester der stad Haarlem, appellanten;1800;;;11 pagina's
747559;105798;Memorie van bedenkingen van de commissie tot de kerkelijke zaaken, voor de Nederduitsche gereformeerde gemeente binnen de stad Amsterdam.;1800;;;
724442;84425;Metalen bovenbouw der bruggen over de doorgangen in het Open Hanvenfront te Amsterdam;1800;S.l.;s.n.;30 pagina's
775316;77826;Mijmeringen in en over Amsterdam / [J. van Lennep];1800;S.l.;s.n.;312 pagina's
669065;66727;Nieuwe uitvindingen, ontdekkingen en verbeteringen, betrekkelijk tot verscheiden konsten en weetenschappen. Benevens eenige bijzonderheden der natuur. En andere nuttige berichten;1800;S.l.;s.n.;
801789;101858;Notificatie. De municipaliteit van Amsterdam ... dat ... de veeren van hier op Antwerpen, Sas van Gendt en Gendt, op Brussel, en op Mechelen en Leuven, gereegeld zullen bevaaren worden;1800;Te Amsterdam;ter Stads-Drukkerije;1 blad
7855979;128705;Op het voltrokke houwlijk van den heer Nicolaas Dani�l Bleecker, en mejufvrouw Alida Brok [... 05-10-1800];1800;S.l.;s.n.;
7855982;128708;Op het voltrokke houwlijk, van den heer Nicolaas Dani�l Bleecker, en mejufvrouw Alida Brok [... 05-10-1800];1800;;;
750998;108004;Opera / Q. Horatius Flaccus, C.G. Mitscherlich;1800;Leiden;;
743019;101355;Opgave der platen en prenten, die het eigendom zijn der Schutterijverzameling en op het geschiedkundig verleden der schutterij en burgerwapeningen betrekking hebben;1800;S.l.;s.n.;20 pagina's
